Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,IsHoliday
33,2011-06-05,21621.73,0,48.14,4.17,218.12,6.18,2011,6,22,Regular
12,2012-04-01,14818.35,0,42.32,2.78,223.25,7.47,2012,4,13,Regular
22,2011-12-25,15722.59,0,44.26,3.74,212.77,6.83,2011,12,51,Regular
44,2013-01-27,18631.86,0,83.83,4.38,212.35,6.6,2013,1,4,Regular
25,2010-08-01,14738.35,0,58.84,2.61,214.95,7.23,2010,8,30,Regular
49,2012-05-06,17622.33,0,58.36,2.62,218.23,6.45,2012,5,18,Regular
27,2011-01-09,14033.12,0,97.66,3.61,215.06,6.74,2011,1,1,Regular
42,2013-04-14,10834.15,1,61.27,4.42,211.64,8.87,2013,4,15,Holiday
28,2010-08-22,25089.79,0,94.94,2.94,216.5,7.55,2010,8,33,Regular
16,2013-10-20,13519.76,0,50.93,3.16,224.12,9.36,2013,10,42,Regular
15,2012-04-29,19106.6,0,58.04,2.7,221.66,9.74,2012,4,17,Regular
47,2012-02-26,23764.46,0,57.74,3.22,229.27,9.61,2012,2,8,Regular
44,2011-03-06,16925.28,0,68.23,2.59,218.72,6.27,2011,3,9,Regular
3,2010-06-06,15874.17,0,70.9,3.28,216.66,7.36,2010,6,22,Regular
37,2010-11-14,21131.19,0,47.37,3.61,223.87,7.68,2010,11,45,Regular
7,2011-01-23,25589.67,0,85.55,4.45,218.24,9.26,2011,1,3,Regular
21,2012-07-29,14153.42,0,64.76,4.14,222.37,7.8,2012,7,30,Regular
9,2012-04-01,19249.26,0,30.49,4.14,228.93,6.26,2012,4,13,Regular
39,2013-08-11,11337.53,0,71.39,2.96,219.98,7.74,2013,8,32,Regular
18,2012-07-01,18033.99,0,85.86,2.67,219.96,5.22,2012,7,26,Regular
4,2013-03-03,20171.02,0,47.53,3.71,225.5,9.17,2013,3,9,Regular
25,2013-02-03,15726.88,0,32.65,3.54,225.12,7.83,2013,2,5,Regular
14,2012-02-26,17715.04,0,86.5,3.53,220.32,8.26,2012,2,8,Regular
50,2010-10-31,12958.87,0,98.34,2.72,211.29,6,2010,10,43,Regular
9,2012-06-10,20385.39,0,35.36,3.49,229.62,7.79,2012,6,23,Regular
26,2012-01-22,25278.47,0,95.66,2.8,217.55,7.65,2012,1,3,Regular
2,2013-01-06,14514.28,0,55.15,3.34,216.33,8.1,2013,1,1,Regular
20,2010-04-25,16886.64,0,95.9,2.62,229.63,9.24,2010,4,16,Regular
28,2011-02-13,22512.73,0,75.42,4.21,227.44,8.82,2011,2,6,Regular
47,2012-08-19,26060.45,0,92.32,2.53,216.6,7.73,2012,8,33,Regular
7,2011-11-20,12534.05,0,85.01,4.38,216.17,9.47,2011,11,46,Regular
44,2011-08-07,19156.08,0,31.96,4.23,224.42,6.79,2011,8,31,Regular
8,2012-10-14,21415.65,0,34.58,4.01,216.69,7.46,2012,10,41,Regular
47,2010-11-07,19489.72,0,66.8,4.47,215.03,8.25,2010,11,44,Regular
35,2012-01-22,7616.04,0,39.07,2.61,229.59,7.2,2012,1,3,Regular
14,2013-07-28,22505.45,0,62.27,3.78,221.31,6.81,2013,7,30,Regular
17,2011-03-06,27596.68,0,96.82,4.2,225.25,5.56,2011,3,9,Regular
36,2011-02-13,20583.31,0,50.63,2.75,224.26,8.18,2011,2,6,Regular
50,2013-05-19,14844.47,0,64.22,3.67,225.11,5.96,2013,5,20,Regular
40,2013-08-25,17434.36,1,56.9,3.29,228.07,5.69,2013,8,34,Holiday
4,2013-01-20,28849.57,0,74.09,3.37,220.02,5.91,2013,1,3,Regular
2,2012-08-19,24549.81,0,43.57,4.33,225.07,8.44,2012,8,33,Regular
6,2010-03-14,23200.13,0,48.2,3.58,225.94,5.69,2010,3,10,Regular
42,2011-12-11,21782.06,0,90.11,2.69,228.93,9.88,2011,12,49,Regular
4,2011-05-01,16694.31,0,86.79,4.37,224.26,8.79,2011,5,17,Regular
29,2012-05-06,18997.14,1,85.24,2.87,227.85,6.96,2012,5,18,Holiday
18,2013-08-18,19610.39,0,83.96,4.29,211.9,7.97,2013,8,33,Regular
26,2013-05-05,22747.87,0,62.16,4.44,212.52,5.04,2013,5,18,Regular
44,2010-08-22,27544.59,0,81.02,4.26,213.17,9.22,2010,8,33,Regular
34,2011-12-04,25591.69,0,57.1,3.85,212.9,6.36,2011,12,48,Regular
10,2012-10-07,12903.08,1,37.05,3.99,211.75,5.36,2012,10,40,Holiday
36,2011-12-25,21119.97,0,57.54,3.9,212.45,8.79,2011,12,51,Regular
14,2013-06-23,23683.82,0,41.11,3.42,229.92,6.65,2013,6,25,Regular
31,2010-10-03,23094.3,0,57.36,3.05,215.44,7.84,2010,10,39,Regular
48,2010-05-09,16853.83,0,50.82,3.07,219.56,9.22,2010,5,18,Regular
15,2011-04-10,34570.55,0,71.94,3.96,226.43,8.88,2011,4,14,Regular
8,2011-07-24,13614.58,0,55.31,3.75,212.37,6.68,2011,7,29,Regular
14,2013-06-16,14584.06,0,79.39,3.67,216.35,9.34,2013,6,24,Regular
23,2011-03-20,21167.98,0,65.85,3.81,213.19,6.94,2011,3,11,Regular
40,2011-07-31,30584.02,0,94.36,4.05,211.25,7.5,2011,7,30,Regular
21,2010-11-21,15819.03,0,36.37,4,229.22,8.06,2010,11,46,Regular
16,2010-02-07,18670.86,0,78.14,2.71,227.17,5.35,2010,2,5,Regular
45,2010-04-18,25386.47,0,77.07,3.23,227.59,7.99,2010,4,15,Regular
18,2013-10-27,19910.69,0,96.54,3.03,227.37,7.89,2013,10,43,Regular
47,2012-10-14,18326.98,0,56.01,3.58,213.09,9.37,2012,10,41,Regular
24,2013-06-09,22828.16,0,51.38,2.62,225.7,6.77,2013,6,23,Regular
26,2013-05-12,21362.59,1,42.07,4.02,224.56,6.21,2013,5,19,Holiday
25,2013-04-07,25152.19,0,48.57,2.71,228.51,7.38,2013,4,14,Regular
45,2010-09-26,26457.34,0,65.13,3.04,214.39,8.44,2010,9,38,Regular
41,2013-05-19,21535.02,0,88.64,4.07,218.28,7.81,2013,5,20,Regular
29,2012-02-26,21458.66,0,49.9,2.6,215.9,5.69,2012,2,8,Regular
15,2012-09-02,21070.55,0,41.04,3.82,215.16,6.74,2012,9,35,Regular
45,2012-08-19,22445.65,0,49.05,4.35,223.05,5.32,2012,8,33,Regular
1,2011-05-08,20275.85,0,37.06,3.74,213.28,8.7,2011,5,18,Regular
25,2012-02-05,19996.96,0,94.87,3.93,219.3,9.41,2012,2,5,Regular
7,2011-01-16,25983.14,0,91.08,4.08,222.93,5.23,2011,1,2,Regular
9,2012-06-17,27580.58,0,51.59,2.94,212.61,7.63,2012,6,24,Regular
24,2010-12-05,12462.24,0,47.29,3.66,215.14,7.83,2010,12,48,Regular
1,2013-02-17,20050.11,0,93.38,3.12,229.35,7.19,2013,2,7,Regular
44,2010-05-23,16556.53,0,30.12,3,225.91,7.51,2010,5,20,Regular
8,2010-09-12,18445.14,0,72.04,2.88,223.54,8.55,2010,9,36,Regular
24,2012-03-18,22012.58,0,94.12,3.67,227.12,7.42,2012,3,11,Regular
11,2010-06-13,23347.19,0,65.6,4.09,210.28,9.6,2010,6,23,Regular
17,2011-01-16,19439.37,0,30.21,4.25,210.12,7.7,2011,1,2,Regular
8,2010-06-20,10433.3,0,45.32,3.36,213.08,5.36,2010,6,24,Regular
35,2012-07-29,15174.77,0,94.57,3.25,219.91,9.77,2012,7,30,Regular
35,2012-06-03,24482.5,0,31.19,3.87,221.4,5.73,2012,6,22,Regular
33,2011-10-09,6297.87,0,57.63,4.06,212.27,8.92,2011,10,40,Regular
5,2011-10-16,25937.14,0,85.28,3.01,211.45,7.63,2011,10,41,Regular
42,2011-05-08,22606.15,0,88.67,3.09,226.57,8.7,2011,5,18,Regular
39,2013-10-20,26580.88,0,63.43,3.57,219.29,7.57,2013,10,42,Regular
41,2012-04-29,19007.15,0,46.27,3.39,229.85,5.29,2012,4,17,Regular
28,2010-06-13,9692.97,0,71.98,3.91,214.59,6.87,2010,6,23,Regular
7,2010-03-14,22151.81,0,48.46,3.51,222.94,8.1,2010,3,10,Regular
9,2011-05-22,26373.27,0,47.87,2.72,226.09,8.14,2011,5,20,Regular
8,2010-03-21,24623.61,1,86.53,2.83,227.45,9.87,2010,3,11,Holiday
12,2010-08-29,16686.54,0,40.8,4.3,216.13,8.03,2010,8,34,Regular
34,2013-08-25,20433.81,1,30.39,2.95,213.87,6.43,2013,8,34,Holiday
33,2013-09-29,17335.82,0,53.57,2.6,214.52,5.22,2013,9,39,Regular
48,2013-07-14,15903.67,0,64.37,3.96,223.33,8.94,2013,7,28,Regular
23,2012-09-09,24776.94,0,79.36,3.87,220.45,9.45,2012,9,36,Regular
24,2010-06-06,14012.34,0,84.68,3.7,221.98,8.07,2010,6,22,Regular
37,2011-07-31,15530.92,0,76.45,3.5,210.41,7.41,2011,7,30,Regular
35,2013-03-10,14479.87,0,73.86,4.44,217.82,9.3,2013,3,10,Regular
44,2011-09-04,12548.76,0,76.6,2.74,216.2,6.2,2011,9,35,Regular
40,2011-07-10,20732.07,1,49.01,3.52,227.28,6.99,2011,7,27,Holiday
22,2011-11-06,25807.52,1,56.77,3.63,225.53,7.54,2011,11,44,Holiday
27,2012-09-02,19075.62,0,73.15,2.54,218.59,5.25,2012,9,35,Regular
35,2010-08-22,12471.26,0,34.59,3.32,222.61,8.44,2010,8,33,Regular
1,2013-10-20,24199.72,0,50.67,4.07,210.95,5.94,2013,10,42,Regular
35,2011-06-05,28428.51,0,58.45,3.44,222.75,6.67,2011,6,22,Regular
37,2013-01-13,16768.79,0,67.34,4.25,211.94,7.07,2013,1,2,Regular
47,2012-06-10,17607.23,0,64.05,3.79,224.28,8.19,2012,6,23,Regular
14,2013-08-18,22578.3,0,80.27,4.03,221.48,5.33,2013,8,33,Regular
3,2012-09-09,28109.37,0,63.14,4.11,216.01,6.7,2012,9,36,Regular
1,2010-08-01,17400.83,0,93.29,3.88,217.42,6.37,2010,8,30,Regular
5,2012-06-24,13337.75,1,56.62,4,211.8,5.01,2012,6,25,Holiday
26,2011-12-18,23157.09,0,66.78,3.89,216.46,8.46,2011,12,50,Regular
14,2010-04-11,23995.34,0,30.22,3.6,229.34,6.18,2010,4,14,Regular
39,2011-01-30,20030.66,0,51.73,3.63,219.72,5.83,2011,1,4,Regular
27,2011-06-05,17209.33,0,90.66,2.88,219.48,8.99,2011,6,22,Regular
9,2010-08-22,24971.89,0,53.35,4.15,222.58,5.2,2010,8,33,Regular
15,2011-12-18,22640.18,0,47.72,3.12,219.69,9.5,2011,12,50,Regular
15,2013-09-29,16157.82,0,68.05,3.57,217.11,8.43,2013,9,39,Regular
26,2011-06-05,20245.47,1,35.51,3,212.79,5.86,2011,6,22,Holiday
42,2010-07-18,13241.46,0,67.21,3.89,222.61,6.75,2010,7,28,Regular
13,2013-09-15,23429.45,0,51.26,4.45,224.98,9.75,2013,9,37,Regular
32,2010-04-18,18688.83,0,56.82,4.1,228.46,8.09,2010,4,15,Regular
39,2013-03-10,17821.45,0,85.4,3.74,210.06,8.04,2013,3,10,Regular
49,2011-06-19,19835.63,0,76.34,3.64,211.33,8.27,2011,6,24,Regular
32,2010-09-12,20201.54,0,61.23,3.48,227.99,7.31,2010,9,36,Regular
4,2011-07-17,24474.65,0,70.43,2.91,222.62,5.84,2011,7,28,Regular
30,2012-11-04,22955.45,0,83.68,3.2,229.16,5.75,2012,11,44,Regular
37,2013-04-14,19217.95,0,82.2,3.31,218.62,8.44,2013,4,15,Regular
23,2012-05-13,23818.34,0,42.97,4.39,218.33,9.42,2012,5,19,Regular
39,2010-05-09,22003.69,0,51.06,3.35,216.89,6.5,2010,5,18,Regular
45,2013-10-20,17867,0,54.38,3.67,212.86,7.52,2013,10,42,Regular
15,2011-12-11,19376.41,0,43.13,4.34,217.57,9.96,2011,12,49,Regular
43,2012-08-05,19258.89,0,30.85,3.54,210.29,6.29,2012,8,31,Regular
29,2011-06-19,22526.31,1,42.18,3,220.19,6.95,2011,6,24,Holiday
36,2013-09-15,18164.89,0,86.58,3.26,226.94,6.82,2013,9,37,Regular
13,2010-10-10,18047.95,0,68.21,3.25,216.42,5.16,2010,10,40,Regular
32,2013-10-13,29843.79,0,53.92,3.93,211.89,7.55,2013,10,41,Regular
7,2011-02-27,24698.68,0,72.58,3.09,229.48,6.04,2011,2,8,Regular
22,2010-06-27,16197,0,81.79,3.96,212.58,5.64,2010,6,25,Regular
28,2011-05-08,22854.7,0,54.81,4.28,220.57,8.55,2011,5,18,Regular
2,2011-12-18,20591.75,0,62.63,3.17,226.18,8.83,2011,12,50,Regular
42,2011-05-01,21957.76,0,34.49,2.77,215.05,9.44,2011,5,17,Regular
45,2012-01-15,20686.71,0,71.8,3.78,226.83,9.67,2012,1,2,Regular
6,2012-12-30,25948.21,0,54.95,3.22,221.14,9.35,2012,12,52,Regular
28,2012-01-15,21728.1,0,60.35,3.57,216.64,5.61,2012,1,2,Regular
28,2011-12-18,19689.56,0,59.58,3.77,227.31,6.12,2011,12,50,Regular
44,2013-09-15,25210.95,1,74.27,3.32,222.44,5.61,2013,9,37,Holiday
44,2010-05-09,21166.43,0,70.07,4.35,222.31,6.77,2010,5,18,Regular
20,2011-04-17,20607.39,0,59.55,3.3,220.08,5.62,2011,4,15,Regular
30,2013-07-21,21570.11,0,31.19,3.11,215.49,8.27,2013,7,29,Regular
11,2011-05-01,19531.95,0,73.47,4.27,216.1,8.58,2011,5,17,Regular
28,2012-02-26,20046.13,0,91.57,2.77,211.76,5.8,2012,2,8,Regular
25,2011-01-30,17066.53,0,83.87,2.75,214.87,8.11,2011,1,4,Regular
39,2013-02-24,16244.16,0,98.71,4.37,215.56,5.11,2013,2,8,Regular
33,2011-02-27,15007.15,0,39.74,2.92,211.17,7.17,2011,2,8,Regular
1,2011-10-02,13040.08,0,45.58,2.8,212.21,6.43,2011,10,39,Regular
27,2010-07-25,15601.41,0,67.75,3.57,215.41,9.99,2010,7,29,Regular
13,2013-10-20,19128.66,0,46.51,2.59,223.55,9.61,2013,10,42,Regular
41,2012-12-02,20515.59,0,32.42,3.74,213.68,5.74,2012,12,48,Regular
3,2012-06-03,18643.52,0,58.16,3.41,220.44,9.59,2012,6,22,Regular
39,2013-09-08,8221.48,0,50.14,3.78,220.16,7.09,2013,9,36,Regular
6,2012-03-11,27872.93,0,48.46,3.07,226.68,7.88,2012,3,10,Regular
8,2010-02-07,25432.4,0,96.72,4.31,222.18,7.67,2010,2,5,Regular
27,2010-05-02,22228.8,0,46.69,3.04,228.34,8.63,2010,5,17,Regular
9,2010-03-07,29537.45,0,39.06,3.78,222.56,6.67,2010,3,9,Regular
37,2011-10-02,15113.18,0,38.77,4.39,210.51,5.35,2011,10,39,Regular
33,2012-08-26,29438.13,0,86.44,3.3,217.63,7.09,2012,8,34,Regular
42,2013-09-08,15173.93,0,80.04,2.82,223.98,7.72,2013,9,36,Regular
44,2011-06-19,21193.69,0,39.06,2.64,219.5,7.77,2011,6,24,Regular
24,2011-12-04,13630.81,0,45.38,4.43,218.39,8.96,2011,12,48,Regular
15,2011-08-07,20073.47,0,82.31,4.03,223.43,5.22,2011,8,31,Regular
32,2013-09-08,21930.83,0,49.22,4.34,215.71,9.94,2013,9,36,Regular
32,2010-12-26,19226.55,0,98.71,3.9,228.18,9.95,2010,12,51,Regular
24,2013-09-22,23569.39,0,67.84,3.18,218.26,5.5,2013,9,38,Regular
41,2010-08-01,20495.07,0,43.44,2.75,222.62,6.72,2010,8,30,Regular
49,2012-10-07,17387.93,0,90.12,4.36,229.65,7.95,2012,10,40,Regular
49,2013-06-30,17165.93,0,52.36,3.48,225.71,6.87,2013,6,26,Regular
12,2012-02-05,24054.57,1,50.22,3.29,220.63,7.44,2012,2,5,Holiday
39,2011-10-09,16731.29,0,52.92,3.66,227.19,6.63,2011,10,40,Regular
2,2013-02-17,24577.01,0,83.77,2.71,221.21,8.56,2013,2,7,Regular
3,2012-12-09,26113.56,0,42.12,3.12,218.83,6.82,2012,12,49,Regular
49,2011-01-02,11656.43,0,56.73,3.78,227.47,7.15,2011,1,52,Regular
37,2012-10-07,25664.63,0,32.16,2.7,210.54,7.88,2012,10,40,Regular
49,2011-08-21,30302.11,0,87.86,2.77,218.15,9.85,2011,8,33,Regular
17,2012-12-02,21260.02,0,53.85,3.52,216.86,8.21,2012,12,48,Regular
49,2010-01-10,22995.42,0,47.37,3.75,224.28,5.48,2010,1,1,Regular
2,2011-08-21,25185.03,0,70.59,2.87,210.25,6.59,2011,8,33,Regular
2,2012-07-15,18622.59,0,79.35,2.57,223.22,7.1,2012,7,28,Regular
28,2010-01-24,20911.4,0,86.9,4.42,216.93,8.7,2010,1,3,Regular
23,2013-02-17,13429,0,54.34,2.55,211.96,7.23,2013,2,7,Regular
37,2010-02-07,20693.18,0,86.86,2.5,229.61,8.3,2010,2,5,Regular
32,2012-11-04,22490.56,0,62.54,3.15,214.24,9.2,2012,11,44,Regular
33,2012-04-01,22580.82,0,37.08,2.94,216.98,5.52,2012,4,13,Regular
1,2011-09-11,25327.12,0,89.24,3.65,214.14,8.83,2011,9,36,Regular
19,2012-12-09,16125.99,0,68.33,4.29,223.24,8.73,2012,12,49,Regular
2,2013-06-30,17336.97,0,72.17,3.46,225.65,9.1,2013,6,26,Regular
44,2013-03-10,29477.54,0,95.62,4.05,227.21,9.78,2013,3,10,Regular
26,2013-01-27,19248.36,0,69.14,4.32,216.22,6.55,2013,1,4,Regular
32,2010-04-04,21000.17,0,30.39,2.88,220.49,7.15,2010,4,13,Regular
6,2011-01-23,19664.95,0,90.94,3.48,223.27,6.31,2011,1,3,Regular
32,2011-07-17,15891.6,0,49.93,3.78,222.59,6.64,2011,7,28,Regular
4,2012-11-04,28117.65,0,65.12,3.16,224.32,6.65,2012,11,44,Regular
11,2010-11-14,17361.49,1,44.34,3.98,225.39,9.35,2010,11,45,Holiday
17,2012-09-30,14363.57,0,50.79,3.91,211.95,5.31,2012,9,39,Regular
38,2010-04-18,17746.3,0,78.07,3.34,213.37,6.01,2010,4,15,Regular
24,2012-04-15,9991.47,0,60.07,2.68,224.69,8.05,2012,4,15,Regular
5,2011-08-07,16743.56,1,73.9,2.52,219.53,8.83,2011,8,31,Holiday
34,2012-12-30,15159.36,0,87.65,3.24,218.54,8.49,2012,12,52,Regular
6,2010-02-21,23087.14,0,53.86,2.66,219.11,5.23,2010,2,7,Regular
22,2011-09-04,16632.93,0,69.78,4.06,217.44,7.27,2011,9,35,Regular
11,2012-07-01,24439.02,0,84.43,3.17,221.82,5.92,2012,7,26,Regular
48,2010-05-09,26992.42,0,80.06,3.83,216.47,9.94,2010,5,18,Regular
16,2011-11-06,23905.88,0,67.79,3.19,222.74,9.99,2011,11,44,Regular
33,2011-04-03,18923.06,0,56.84,4.09,214.05,5.25,2011,4,13,Regular
9,2011-07-03,20705.57,0,58.53,4.28,225.15,8.34,2011,7,26,Regular
6,2011-08-21,12375.08,0,60.32,4.18,225.63,9.07,2011,8,33,Regular
16,2012-05-13,19331.1,0,54.42,3.47,221.57,6.62,2012,5,19,Regular
29,2012-11-11,15697.81,0,78.94,2.67,217.39,8.47,2012,11,45,Regular
3,2010-11-14,23471.63,0,38.78,3.24,210.29,5.94,2010,11,45,Regular
20,2012-02-26,32863.76,0,97.72,3.35,212.43,5.64,2012,2,8,Regular
36,2011-09-25,22499.11,0,84.53,4.42,211.59,9.63,2011,9,38,Regular
19,2012-09-09,10044.3,1,50.87,3.63,210.2,8.21,2012,9,36,Holiday
26,2010-08-15,18193.85,0,32.98,3.78,224.44,9.08,2010,8,32,Regular
3,2012-07-15,20612.45,0,79.79,4.06,229.12,7.66,2012,7,28,Regular
19,2011-06-19,20436.79,0,81.41,3.64,210.22,5.77,2011,6,24,Regular
20,2012-12-16,16345.93,0,97.45,3.7,212.25,6.88,2012,12,50,Regular
32,2012-04-22,21226.46,0,47.76,2.99,227.21,9.41,2012,4,16,Regular
7,2012-06-10,13787.5,0,35.79,2.62,223.77,5.08,2012,6,23,Regular
41,2011-06-26,15275.46,0,94.06,3.94,218.09,6.04,2011,6,25,Regular
33,2012-11-25,23228.99,0,48.11,4.2,229.86,6.27,2012,11,47,Regular
40,2011-04-10,14921.68,0,80.51,3.32,221.47,6.31,2011,4,14,Regular
39,2012-03-11,22691.06,0,34.25,3.6,223.39,5.49,2012,3,10,Regular
18,2011-03-13,13152.68,0,83.24,3.11,223.06,9.24,2011,3,10,Regular
40,2012-02-26,28824.13,0,38.89,3.4,214.45,5.8,2012,2,8,Regular
1,2011-10-16,16128.65,0,78.69,2.92,219.76,9.15,2011,10,41,Regular
11,2010-11-28,18881.67,0,67.26,4.02,214.33,6.78,2010,11,47,Regular
28,2013-08-25,21653.07,0,96.88,3.48,220.19,7.29,2013,8,34,Regular
25,2010-03-21,17173.25,1,32.58,3.59,210.62,7.31,2010,3,11,Holiday
50,2012-12-23,20717.03,0,50.44,2.57,217.64,8.57,2012,12,51,Regular
23,2013-04-14,22876.78,0,34.87,3.74,217.44,8.66,2013,4,15,Regular
31,2013-04-07,24803.07,0,91.54,2.91,215.83,8.2,2013,4,14,Regular
30,2012-10-07,23957.49,0,71.57,3.27,211.58,8.87,2012,10,40,Regular
42,2010-10-03,19140.95,0,67.45,3.33,225.42,5.04,2010,10,39,Regular
35,2013-05-19,19266.84,0,39.2,3.4,218.41,7.52,2013,5,20,Regular
7,2011-08-14,31745.54,0,64.23,2.95,226.28,7.62,2011,8,32,Regular
16,2011-01-30,24749.45,0,57.91,4.2,226.71,6.2,2011,1,4,Regular
26,2011-08-28,15390.88,0,52.1,3.36,214.27,7.78,2011,8,34,Regular
48,2011-08-07,20499.94,0,84.05,3.72,218.43,7.34,2011,8,31,Regular
49,2013-09-01,18324.28,0,34.29,3.73,224.42,7.36,2013,9,35,Regular
2,2013-07-14,19323.33,0,75.27,3.71,219.99,5.59,2013,7,28,Regular
1,2012-04-22,13852.52,0,87.61,3.62,227.1,7.18,2012,4,16,Regular
48,2011-05-29,17940.38,0,93.51,4.15,221.43,8.83,2011,5,21,Regular
12,2012-01-15,29057.78,0,82.21,4.13,222.59,7.05,2012,1,2,Regular
5,2012-05-13,22895.38,0,49.77,3.33,225.74,7.44,2012,5,19,Regular
37,2013-10-13,7544.19,0,72.04,3.77,212.44,9.84,2013,10,41,Regular
32,2011-11-27,26083.62,0,39.9,2.71,221.68,9.36,2011,11,47,Regular
9,2010-10-24,25448.15,0,38.19,2.68,211.71,9.64,2010,10,42,Regular
41,2012-04-08,18203.57,0,74.7,3.46,215.21,5.39,2012,4,14,Regular
35,2010-06-06,23586.32,0,89.58,4.3,214.25,8.09,2010,6,22,Regular
19,2012-12-16,15703,0,34.71,3.8,221.34,6.12,2012,12,50,Regular
48,2013-07-21,17648.72,1,37.42,3.84,226.88,7.02,2013,7,29,Holiday
16,2010-09-12,27492.73,0,69.59,2.82,212.66,8.4,2010,9,36,Regular
3,2012-07-22,18641.35,0,45.27,3.41,225.37,7.89,2012,7,29,Regular
20,2011-03-27,10651.34,0,72.83,3.3,212.86,7.53,2011,3,12,Regular
24,2012-07-22,19683.48,0,45.02,4.07,213.79,9.07,2012,7,29,Regular
33,2013-05-26,19607.06,0,38.15,2.78,228.34,8.41,2013,5,21,Regular
24,2010-05-30,25991.84,0,68.19,3.58,210.19,9.11,2010,5,21,Regular
11,2012-01-01,20071.68,0,90.35,4.32,213.94,9.66,2012,1,52,Regular
49,2011-09-04,17892.09,0,77.96,4.28,214.31,8.56,2011,9,35,Regular
8,2012-12-02,25225.28,0,87.31,4.2,215.64,6.98,2012,12,48,Regular
36,2012-05-20,20603.95,0,48.64,3.25,217.27,6.06,2012,5,20,Regular
38,2011-07-03,16249.89,0,92.02,4.38,212.06,6.35,2011,7,26,Regular
40,2011-09-18,25774.99,0,56.39,4.11,219.37,6.98,2011,9,37,Regular
20,2013-10-27,20968.31,0,89.67,4.2,217.99,8.7,2013,10,43,Regular
35,2010-12-19,20014.63,0,62.98,4.36,222.5,5.2,2010,12,50,Regular
48,2013-05-12,20889.54,0,48.75,4.37,227.35,9.07,2013,5,19,Regular
25,2011-12-11,14646.66,0,48.22,2.98,215.95,8.79,2011,12,49,Regular
35,2013-10-13,17361.73,0,69.74,2.76,220.93,7.5,2013,10,41,Regular
25,2012-01-08,20017.91,0,35.53,3.88,217.43,7,2012,1,1,Regular
29,2013-09-08,19026.68,0,95.1,3.63,210.81,5.56,2013,9,36,Regular
18,2011-02-20,26362.14,0,49,3.15,226.42,6.45,2011,2,7,Regular
46,2010-11-14,21087.03,0,53.49,3.87,222.68,5.55,2010,11,45,Regular
18,2010-09-05,24274.52,0,46.33,2.62,210.04,9.09,2010,9,35,Regular
2,2013-07-21,20046.98,0,30.21,2.59,214.99,7.55,2013,7,29,Regular
35,2013-03-03,25281.44,0,78.48,3.21,216.18,6.23,2013,3,9,Regular
16,2010-03-14,21987.64,0,71.34,2.89,226.23,5.09,2010,3,10,Regular
41,2010-03-21,20067.1,1,86.68,3.94,225.21,7.62,2010,3,11,Holiday
36,2013-03-31,19933.58,0,32.87,4.4,217.92,8.76,2013,3,13,Regular
33,2010-09-26,15227.81,0,95.01,3.82,213.15,8.83,2010,9,38,Regular
4,2013-10-20,22534.58,0,53.16,3.81,217.72,6.07,2013,10,42,Regular
33,2012-08-26,19798.98,0,93.91,2.51,226.2,9.98,2012,8,34,Regular
14,2010-09-05,17490.04,0,37.5,3.52,219.05,7.84,2010,9,35,Regular
